index,date,wp1,train,u,v,ws,wd
0,2009-07-01 00:00:00,0.051,1.0,3.14,-3.62,4.79,139.09
1,2009-07-01 01:00:00,0.051,1.0,2.96,-3.56,4.63,140.26
2,2009-07-01 02:00:00,0.0,1.0,2.89,-3.46,4.51,140.15
3,2009-07-01 03:00:00,0.0,1.0,2.87,-3.33,4.4,139.26
4,2009-07-01 04:00:00,0.0,1.0,2.8,-3.19,4.25,138.73
5,2009-07-01 05:00:00,0.0,1.0,2.57,-3.07,4.0,140.0
6,2009-07-01 06:00:00,0.0,1.0,2.14,-2.97,3.66,144.27
7,2009-07-01 07:00:00,0.025,1.0,1.67,-2.86,3.32,149.72
8,2009-07-01 08:00:00,0.0,1.0,1.43,-2.7,3.06,152.18
9,2009-07-01 09:00:00,0.0,1.0,1.56,-2.46,2.91,147.59
10,2009-07-01 10:00:00,0.0,1.0,1.89,-2.13,2.85,138.5
11,2009-07-01 11:00:00,0.0,1.0,2.15,-1.77,2.78,129.44
12,2009-07-01 12:00:00,0.0,1.0,2.25,-1.78,2.87,128.33
13,2009-07-01 13:00:00,0.0,1.0,2.35,-1.77,2.94,127.01
14,2009-07-01 14:00:00,0.0,1.0,2.45,-1.69,2.98,124.49
15,2009-07-01 15:00:00,0.0,1.0,2.54,-1.56,2.98,121.56
16,2009-07-01 16:00:00,0.0,1.0,2.56,-1.44,2.94,119.26
17,2009-07-01 17:00:00,0.0,1.0,2.49,-1.37,2.84,118.79
18,2009-07-01 18:00:00,0.0,1.0,2.29,-1.39,2.67,121.23
19,2009-07-01 19:00:00,0.0,1.0,1.95,-1.43,2.42,126.37
20,2009-07-01 20:00:00,0.0,1.0,1.47,-1.43,2.05,134.18
21,2009-07-01 21:00:00,0.0,1.0,0.9,-1.32,1.6,145.71
22,2009-07-01 22:00:00,0.0,1.0,0.36,-1.09,1.15,161.69
23,2009-07-01 23:00:00,0.0,1.0,0.01,-0.75,0.75,178.95
24,2009-07-02 00:00:00,0.0,1.0,0.32,-1.13,1.18,164.02
25,2009-07-02 01:00:00,0.0,1.0,-0.04,-0.91,0.91,182.25
26,2009-07-02 02:00:00,0.0,1.0,-0.09,-0.6,0.61,188.3
