date,wp3,train,u,v,ws,wd
2009-07-01 00:00:00,0.233,1.0,3.32,-1.93,3.84,120.2
2009-07-01 01:00:00,0.249,1.0,3.32,-1.93,3.84,120.2
2009-07-01 02:00:00,0.175,1.0,2.88,-1.78,3.39,121.76
2009-07-01 03:00:00,0.085,1.0,2.46,-1.71,2.99,124.85
2009-07-01 04:00:00,0.032,1.0,2.07,-1.68,2.67,129.09
2009-07-01 05:00:00,0.011000000000000001,1.0,1.77,-1.65,2.42,132.96
2009-07-01 06:00:00,0.0,1.0,1.61,-1.55,2.24,134.05
2009-07-01 07:00:00,0.011000000000000001,1.0,1.6,-1.37,2.11,130.46
2009-07-01 08:00:00,0.016,1.0,1.71,-1.19,2.08,124.72
2009-07-01 09:00:00,0.0,1.0,1.84,-1.12,2.16,121.38
2009-07-01 10:00:00,0.005,1.0,1.94,-1.27,2.32,123.11
2009-07-01 11:00:00,0.021,1.0,2.01,-1.53,2.53,127.29
2009-07-01 12:00:00,0.021,1.0,2.07,-1.8,2.74,131.0
2009-07-01 13:00:00,0.026000000000000002,1.0,2.22,-2.0,2.98,131.99
2009-07-01 14:00:00,0.021,1.0,2.2,-2.33,3.21,136.65
2009-07-01 15:00:00,0.016,1.0,2.4,-2.54,3.49,136.66
2009-07-01 16:00:00,0.021,1.0,2.72,-2.65,3.79,134.24
2009-07-01 17:00:00,0.016,1.0,3.07,-2.71,4.1,131.45
2009-07-01 18:00:00,0.032,1.0,3.36,-2.8,4.38,129.85
2009-07-01 19:00:00,0.037000000000000005,1.0,3.5,-2.95,4.58,130.13
2009-07-01 20:00:00,0.048,1.0,3.49,-3.05,4.64,131.16
2009-07-01 21:00:00,0.057999999999999996,1.0,3.34,-2.96,4.46,131.6
2009-07-01 22:00:00,0.09,1.0,3.06,-2.59,4.01,130.24
2009-07-01 23:00:00,0.127,1.0,2.77,-2.06,3.45,126.58
2009-07-02 00:00:00,0.16399999999999998,1.0,2.58,-1.52,2.99,120.54
2009-07-02 01:00:00,0.138,1.0,2.64,-1.2,2.91,114.46
2009-07-02 02:00:00,0.11599999999999999,1.0,2.59,-1.0,2.78,110.98
2009-07-02 03:00:00,0.079,1.0,2.51,-0.91,2.67,109.87
2009-07-02 04:00:00,0.07400000000000001,1.0,2.39,-0.89,2.55,110.5
2009-07-02 05:00:00,0.063,1.0,2.23,-0.88,2.39,111.52
2009-07-02 06:00:00,0.07400000000000001,1.0,2.02,-0.78,2.16,111.14
2009-07-02 07:00:00,0.057999999999999996,1.0,1.76,-0.55,1.84,107.46
2009-07-02 08:00:00,0.053,1.0,1.48,-0.3,1.52,101.54
2009-07-02 09:00:00,0.057999999999999996,1.0,1.25,-0.18,1.26,98.11
2009-07-02 10:00:00,0.053,1.0,1.09,-0.27,1.13,103.99
2009-07-02 11:00:00,0.10099999999999999,1.0,1.03,-0.48,1.13,115.14
2009-07-02 12:00:00,0.07400000000000001,1.0,1.05,-0.65,1.23,121.73
2009-07-02 13:00:00,0.057999999999999996,1.0,1.51,-1.51,2.14,135.01
2009-07-02 14:00:00,0.085,1.0,1.93,-1.89,2.7,134.43
2009-07-02 15:00:00,0.085,1.0,2.45,-2.28,3.35,132.82
2009-07-02 16:00:00,0.11599999999999999,1.0,3.05,-2.66,4.05,131.05
2009-07-02 17:00:00,0.14300000000000002,1.0,3.68,-3.04,4.77,129.51
2009-07-02 18:00:00,0.175,1.0,4.31,-3.41,5.5,128.36
2009-07-02 19:00:00,0.175,1.0,4.9,-3.78,6.19,127.61
2009-07-02 20:00:00,0.201,1.0,5.36,-4.05,6.71,127.07
2009-07-02 21:00:00,0.222,1.0,5.57,-4.12,6.93,126.52
2009-07-02 22:00:00,0.29100000000000004,1.0,5.46,-3.95,6.74,125.85
2009-07-02 23:00:00,0.444,1.0,5.06,-3.6,6.21,125.38
2009-07-03 00:00:00,0.386,1.0,4.42,-3.18,5.45,125.74
